OrderNumber,OrderDate,OrderType,CustomerType,CustomerName,CustomerState,ProductCategory,ProductNumber,ProductName,Quantity,Price,Discount,OrderTotal,Region
1000013,1-Jan-20,Wholesale,Business,Antonio Bryant Inc.,New York,Daisy,DS811,Ox-Eye Daisy,49,$27.50 ,$5.50 ,"$1,342.00 ",United States
1000014,2-Jan-20,Wholesale,Business,Kimberly Stewart LLC,Texas,Orchid,OC603,Paphiopedlium Orchid,11,$189.00 ,$37.80 ,"$2,041.20 ",United States
1000015,2-Jan-20,Wholesale,Business,Ryan Perry LLC,Minnesota,Rose,RS104,Beach Rose,6,$4.99 ,$1.00 ,$28.94 ,United States
1000016,2-Jan-20,Retail,Individual,Hailey Ward,Florida,Orchid,OC202,Catasetum Orchid,4,$58.95 ,$0.00 ,$235.80 ,United States
1000017,2-Jan-20,Retail,Business,Ian Richardson Invisionaries,Minnesota,Sunflower,SF707,Italian White,3,$599.00 ,$0.00 ,"$1,797.00 ",United States
1000018,2-Jan-20,Retail,Individual,Raymond Malhotra,Massachusetts,Daisy,DS813,English Daisy,1,$29.99 ,$0.00 ,$29.99 ,United States
1000019,2-Jan-20,Wholesale,Business,Alexis Coleman LLC,Idaho,Orchid,OC603,Paphiopedlium Orchid,10,$189.00 ,$37.80 ,"$1,852.20 ",United States
1000020,2-Jan-20,Wholesale,Business,Ryan Perry LLC,Minnesota,Sunflower,SF307,Moulin Rouge,5,$499.00 ,$99.80 ,"$2,395.20 ",United States
1000021,2-Jan-20,Wholesale,Business,Steve Wagner LLC,North Carolina,Sunflower,SF704,Giant Sungold,6,$699.00 ,$139.80 ,"$4,054.20 ",United States
1000022,2-Jan-20,Wholesale,Business,Brandon Kumar LLC,Kentucky,Rose,RS514,Grandiflora,9,$23.99 ,$4.80 ,$211.11 ,United States
1000023,2-Jan-20,Wholesale,Business,Morgan Morris,Kansas,Orchid,OC607,Zygopetalum Orchid,10,$245.00 ,$49.00 ,"$2,401.00 ",United States
1000024,2-Jan-20,Retail,Individual,Charles Cook,Virginia,Orchid,OC209,Lycaste Orchid,1,$179.00 ,$0.00 ,$179.00 ,United States
1000025,3-Jan-20,Wholesale,Business,Jaclyn Guo,Florida,Rose,RS521,Hybrid Musk,8,$19.50 ,$3.90 ,$152.10 ,United States
1000026,3-Jan-20,Wholesale,Business,Marc Ruiz Group,Delaware,Rose,RS108,Panda Robot Blueprint,39,$7.99 ,$1.60 ,$310.01 ,United States
1000027,3-Jan-20,Wholesale,Business,José Hernandez andSons,Washington,Sunflower,SF305,Ms. Mars,12,$455.00 ,$91.00 ,"$5,369.00 ",United States
1000028,3-Jan-20,Retail,Individual,Victoria Gonzales,California,Orchid,OC209,Lycaste Orchid,1,$179.00 ,$0.00 ,$179.00 ,United States
1000029,3-Jan-20,Retail,Individual,Amanda Rivera,New Jersey,Daisy,DS811,Ox-Eye Daisy,1,$27.50 ,$0.00 ,$27.50 ,United States
1000030,3-Jan-20,Retail,Individual,Katie Kumar,Florida,Rose,RS501,Prairie Rose,1,$23.99 ,$0.00 ,$23.99 ,United States
1000031,3-Jan-20,Wholesale,Business,Colleen West Inc.,Minnesota,Rose,RS513,Tea Rose,10,$14.99 ,$3.00 ,$146.90 ,United States
1000032,3-Jan-20,Retail,Individual,Ruth Gonzalez,Florida,Sunflower,SF703,Russian Mammoth,1,$549.00 ,$0.00 ,$549.00 ,United States
1000033,3-Jan-20,Retail,Individual,Randy Xu,North Carolina,Rose,RS501,Prairie Rose,1,$23.99 ,$0.00 ,$23.99 ,United States
1000034,3-Jan-20,Retail,Business,Jeremy Young LLC,Florida,Sunflower,SF303,Terracotta,1,$450.00 ,$0.00 ,$450.00 ,United States
1000035,3-Jan-20,Wholesale,Business,Kimberly Rivera Inc.,New Hampshire,Rose,RS502,Rosa Glauca,39,$24.95 ,$4.99 ,$968.06 ,United States
1000036,3-Jan-20,Retail,Individual,Caleb Zhang,Connecticut,Rose,RS518,Moss Rose,1,$14.99 ,$0.00 ,$14.99 ,United States
1000037,3-Jan-20,Wholesale,Business,Nicholas Thompson Tech,Texas,Orchid,OC603,Paphiopedlium Orchid,49,$189.00 ,$37.80 ,"$9,223.20 ",United States
1000038,3-Jan-20,Retail,Individual,Maurice Shan,Iowa,Sunflower,SF305,Ms. Mars,3,$455.00 ,$0.00 ,"$1,365.00 ",United States
1000039,3-Jan-20,Retail,Individual,Crystal Liang,Virginia,Daisy,DS809,Eastern Purple Coneflower,1,$42.99 ,$0.00 ,$42.99 ,United States
1000040,3-Jan-20,Wholesale,Business,Levi Weber LLC,Georgia,Orchid,OC204,Cymbidium Orchid,11,$89.00 ,$17.80 ,$961.20 ,United States
1000041,3-Jan-20,Wholesale,Business,Kimberly Murphy Engineering,Georgia,Sunflower,SF707,Italian White,5,$599.00 ,$119.80 ,"$2,875.20 ",United States
1000042,3-Jan-20,Wholesale,Business,Nicholas Robinson LLC,Arizona,Orchid,OC605,Psychopsis Orchid,3,$214.00 ,$42.80 ,$599.20 ,United States
1000043,3-Jan-20,Retail,Business,Ryan Smith Inc.,Georgia,Rose,RS519,Alba Rose,4,$16.75 ,$0.00 ,$67.00 ,United States
1000044,3-Jan-20,Wholesale,Business,Brittany Price Inc.,Kansas,Rose,RS102,Carolina Rose,12,$8.99 ,$1.80 ,$106.08 ,United States
1000045,3-Jan-20,Retail,Individual,Melissa Sanchez,Texas,Daisy,DS809,Eastern Purple Coneflower,1,$42.99 ,$0.00 ,$42.99 ,United States
1000046,3-Jan-20,Wholesale,Business,Christy Chow Inc.,Florida,Rose,RS104,Beach Rose,8,$4.99 ,$1.00 ,$38.92 ,United States
1000047,3-Jan-20,Wholesale,Business,Jordan Coleman InformationSystems,Arizona,Rose,RS502,Rosa Glauca,104,$24.95 ,$4.99 ,"$2,589.81 ",United States
1000048,4-Jan-20,Wholesale,Business,Cindy Gray LLC,Mississippi,Sunflower,SF305,Ms. Mars,9,$455.00 ,$91.00 ,"$4,004.00 ",United States
1000049,4-Jan-20,Retail,Individual,Brianna Ross,Missouri,Rose,RS514,Grandiflora,1,$23.99 ,$0.00 ,$23.99 ,United States
1000050,4-Jan-20,Wholesale,Business,Jamie Liang Productions,Florida,Orchid,OC201,Phalaenopsis Orchid,8,$54.00 ,$10.80 ,$421.20 ,United States
1000051,4-Jan-20,Retail,Individual,Dennis Zhu,Texas,Rose,RS502,Rosa Glauca,1,$24.95 ,$0.00 ,$24.95 ,United States
1000052,4-Jan-20,Retail,Individual,Erin Rogers,Tennessee,Daisy,DS802,Mojave Desert Star,1,$49.95 ,$0.00 ,$49.95 ,United States
1000053,4-Jan-20,Wholesale,Business,Savannah Reed Securities,New York,Rose,RS101,Prickly Wild Rose,8,$9.99 ,$2.00 ,$77.92 ,United States
1000054,4-Jan-20,Retail,Individual,Chad Kumar,District of Columbia,Sunflower,SF306,Chianti,1,$250.00 ,$0.00 ,$250.00 ,United States
1000055,4-Jan-20,Wholesale,Business,Susan Yang,California,Rose,RS521,Hybrid Musk,11,$19.50 ,$3.90 ,$210.60 ,United States
1000056,4-Jan-20,Retail,Individual,Madison Lee,Minnesota,Rose,RS104,Beach Rose,1,$4.99 ,$0.00 ,$4.99 ,United States
1000057,4-Jan-20,Wholesale,Business,Briana Dominguez LLC,Connecticut,Sunflower,SF301,Little Becka,5,$399.00 ,$79.80 ,"$1,915.20 ",United States
1000058,4-Jan-20,Retail,Individual,Rachel Garcia,Illinois,Rose,RS110,Noisette Rose,1,$11.99 ,$0.00 ,$11.99 ,United States
1000059,5-Jan-20,Retail,Individual,Jerome Gutierrez,New Mexico,Orchid,OC201,Phalaenopsis Orchid,1,$54.00 ,$0.00 ,$54.00 ,United States
1000060,5-Jan-20,Wholesale,Business,Jordan Turner Inc.,Kentucky,Orchid,OC602,Miltonia Orchid,9,$189.00 ,$37.80 ,"$1,663.20 ",United States
1000061,5-Jan-20,Retail,Individual,Jonathan Smith,Indiana,Rose,RS102,Carolina Rose,1,$8.99 ,$0.00 ,$8.99 ,United States
1000062,5-Jan-20,Wholesale,Business,Chloe Nelson AITech,Arizona,Rose,RS107,French Rose,10,$12.00 ,$2.40 ,$117.60 ,United States
1000063,5-Jan-20,Retail,Individual,Sarah Lewis,Colorado,Daisy,DS805,Barberton Daisy,1,$49.00 ,$0.00 ,$49.00 ,United States
1000064,5-Jan-20,Wholesale,Business,Samuel Collins Corporation,Washington,Rose,RS108,Panda Robot Blueprint,3,$7.99 ,$1.60 ,$22.37 ,United States
1000065,5-Jan-20,Retail,Individual,Sara Brooks,Delaware,Daisy,DS803,Curly Leaf Daisy,1,$29.99 ,$0.00 ,$29.99 ,United States
1000066,5-Jan-20,Retail,Individual,Robert Mitchell,California,Daisy,DS802,Mojave Desert Star,1,$49.95 ,$0.00 ,$49.95 ,United States
1000067,5-Jan-20,Retail,Individual,Colin Stone,Pennsylvania,Orchid,OC606,Vanda Orchid,1,$225.00 ,$0.00 ,$225.00 ,United States
1000068,5-Jan-20,Wholesale,Business,Edward Parker Inc.,Kansas,Orchid,OC603,Paphiopedlium Orchid,5,$189.00 ,$37.80 ,$907.20 ,United States
1000069,5-Jan-20,Retail,Individual,Edwin Shan,Illinois,Orchid,OC209,Lycaste Orchid,1,$179.00 ,$0.00 ,$179.00 ,United States
1000070,5-Jan-20,Wholesale,Business,Jenny Nara Technologies,Utah,Orchid,OC602,Miltonia Orchid,10,$189.00 ,$37.80 ,"$1,852.20 ",United States
1000071,5-Jan-20,Wholesale,Business,Catherine Torres Inc.,Arizona,Rose,RS109,Floribunda,64,$10.99 ,$2.20 ,$701.16 ,United States
1000072,6-Jan-20,Retail,Individual,Natalie Cook,New York,Rose,RS502,Rosa Glauca,1,$24.95 ,$0.00 ,$24.95 ,United States
1000073,6-Jan-20,Retail,Individual,Lindsay Xie,Tennessee,Rose,RS104,Beach Rose,1,$4.99 ,$0.00 ,$4.99 ,United States
1000074,6-Jan-20,Retail,Individual,Jill Jimenez,Ohio,Daisy,DS809,Eastern Purple Coneflower,1,$42.99 ,$0.00 ,$42.99 ,United States
1000075,6-Jan-20,Retail,Individual,Christy Zhou,West Virginia,Rose,RS507,White Rose of York,1,$13.99 ,$0.00 ,$13.99 ,United States
1000076,6-Jan-20,Retail,Individual,James Brown,Alabama,Rose,RS107,French Rose,1,$12.00 ,$0.00 ,$12.00 ,United States
1000077,6-Jan-20,Retail,Individual,Nathan Hughes,North Carolina,Rose,RS502,Rosa Glauca,1,$24.95 ,$0.00 ,$24.95 ,United States
1000078,6-Jan-20,Wholesale,Business,Casey Sharma LLC,South Dakota,Rose,RS507,White Rose of York,12,$13.99 ,$2.80 ,$165.08 ,United States
1000079,6-Jan-20,Wholesale,Business,Dalton Clark Group,Florida,Sunflower,SF705,Suntastic Yellow,103,$684.00 ,$136.80 ,"$70,315.20 ",United States
1000080,6-Jan-20,Wholesale,Business,Gabriella Morris LLC,California,Sunflower,SF702,American Giant Hybrid,42,$899.00 ,$179.80 ,"$37,578.20 ",United States
1000081,6-Jan-20,Wholesale,Business,Andrew Wedge Inc.,Georgia,Rose,RS516,Polyantha,12,$16.99 ,$3.40 ,$200.48 ,United States
1000082,6-Jan-20,Wholesale,Business,Cindy Patel LLC,New York,Daisy,DS809,Eastern Purple Coneflower,12,$42.99 ,$8.60 ,$507.28 ,United States
1000083,6-Jan-20,Retail,Individual,Jada Sanders,New York,Rose,RS520,Rogusa Rose,1,$17.50 ,$0.00 ,$17.50 ,United States
1000084,6-Jan-20,Retail,Individual,Julia Wright,Nevada,Sunflower,SF302,Sunny Smile,2,$395.00 ,$0.00 ,$790.00 ,United States
1000085,6-Jan-20,Retail,Individual,Jarrod Gonzalez,New York,Sunflower,SF703,Russian Mammoth,1,$549.00 ,$0.00 ,$549.00 ,United States
1000086,6-Jan-20,Retail,Individual,Raymond Sanchez,District of Columbia,Sunflower,SF702,American Giant Hybrid,1,$899.00 ,$0.00 ,$899.00 ,United States
1000087,6-Jan-20,Retail,Individual,Alan Sun,Kentucky,Sunflower,SF707,Italian White,1,$599.00 ,$0.00 ,$599.00 ,United States
1000088,7-Jan-20,Wholesale,Business,Grace Bell andSons,Florida,Rose,RS519,Alba Rose,5,$16.75 ,$3.35 ,$80.40 ,United States
1000089,7-Jan-20,Wholesale,Business,Omar Raje Inc.,Virginia,Daisy,DS802,Mojave Desert Star,11,$49.95 ,$9.99 ,$539.46 ,United States
1000090,7-Jan-20,Retail,Individual,Tyler Taylor,Colorado,Rose,RS503,Multiflora Rose,1,$24.99 ,$0.00 ,$24.99 ,United States
1000091,7-Jan-20,Wholesale,Business,Jose Li Inc.,Maryland,Sunflower,SF303,Terracotta,6,$450.00 ,$90.00 ,"$2,610.00 ",United States
1000092,7-Jan-20,Retail,Individual,Linda Serrano,Georgia,Rose,RS501,Prairie Rose,1,$23.99 ,$0.00 ,$23.99 ,United States
1000093,7-Jan-20,Retail,Individual,Michele Navarro,Florida,Daisy,DS809,Eastern Purple Coneflower,1,$42.99 ,$0.00 ,$42.99 ,United States
1000094,7-Jan-20,Wholesale,Business,Bianca Liu Group,New York,Orchid,OC209,Lycaste Orchid,9,$179.00 ,$35.80 ,"$1,575.20 ",United States
1000095,7-Jan-20,Wholesale,Business,Xavier Bailey LLC,Connecticut,Daisy,DS804,Chrysanthemum Daisy,104,$37.99 ,$7.60 ,"$3,943.36 ",United States
1000096,7-Jan-20,Wholesale,Business,Jordan Gonzalez Group,West Virginia,Rose,RS518,Moss Rose,82,$14.99 ,$3.00 ,"$1,226.18 ",United States
1000097,7-Jan-20,Wholesale,Business,Albert Moreno andSons,Kansas,Rose,RS507,White Rose of York,7,$13.99 ,$2.80 ,$95.13 ,United States
1000098,7-Jan-20,Wholesale,Business,Kaitlyn Cox Group,Pennsylvania,Daisy,DS811,Ox-Eye Daisy,65,$27.50 ,$5.50 ,"$1,782.00 ",United States
1000099,7-Jan-20,Retail,Individual,Destiny Powell,North Carolina,Sunflower,SF703,Russian Mammoth,1,$549.00 ,$0.00 ,$549.00 ,United States
1000100,8-Jan-20,Wholesale,Business,Chloe Nelson AITech,Arizona,Daisy,DS809,Eastern Purple Coneflower,8,$42.99 ,$8.60 ,$335.32 ,United States
1000101,8-Jan-20,Retail,Individual,Chad Jai,Hawaii,Sunflower,SF306,Chianti,1,$250.00 ,$0.00 ,$250.00 ,United States
1000102,8-Jan-20,Retail,Individual,Jaime Gutierrez,West Virginia,Orchid,OC603,Paphiopedlium Orchid,1,$189.00 ,$0.00 ,$189.00 ,United States
1000103,8-Jan-20,Retail,Business,Shannon Sun Inc.,Texas,Orchid,OC206,Dendrobium Orchid,2,$119.00 ,$0.00 ,$238.00 ,United States
1000104,8-Jan-20,Wholesale,Business,Jonathan Martinez Inc.,Kentucky,Orchid,OC202,Catasetum Orchid,5,$58.95 ,$11.79 ,$282.96 ,United States
1000105,8-Jan-20,Retail,Individual,Erica Huang,Texas,Orchid,OC209,Lycaste Orchid,2,$179.00 ,$0.00 ,$358.00 ,United States
1000106,8-Jan-20,Wholesale,Business,Kari Mehta LTD,Minnesota,Orchid,OC603,Paphiopedlium Orchid,4,$189.00 ,$37.80 ,$718.20 ,United States
1000107,8-Jan-20,Wholesale,Business,Karla Goel Group,Tennessee,Rose,RS509,Bourbon Rose,4,$19.99 ,$4.00 ,$75.96 ,United States
1000108,8-Jan-20,Retail,Individual,Shannon Wang,Alaska,Rose,RS104,Beach Rose,1,$4.99 ,$0.00 ,$4.99 ,United States
1000109,8-Jan-20,Wholesale,Business,Nelson Carlson LLC,Washington,Rose,RS516,Polyantha,13,$16.99 ,$3.40 ,$217.47 ,United States
1000110,8-Jan-20,Wholesale,Business,Lauren Thompson Inc.,California,Sunflower,SF301,Little Becka,8,$399.00 ,$79.80 ,"$3,112.20 ",United States
1000111,8-Jan-20,Retail,Business,Jennifer Campbell Security,Pennsylvania,Sunflower,SF307,Moulin Rouge,93,$499.00 ,$0.00 ,"$46,407.00 ",United States
1000112,8-Jan-20,Wholesale,Business,Logan Hernandez PlusSport,Florida,Rose,RS105,Portland Rose,92,$12.00 ,$2.40 ,"$1,101.60 ",United States
1000113,8-Jan-20,Wholesale,Business,Brittany Foster Resources,Alaska,Orchid,OC201,Phalaenopsis Orchid,24,$54.00 ,$10.80 ,"$1,285.20 ",United States
1000114,8-Jan-20,Wholesale,Business,Catherine Torres Inc.,Arizona,Orchid,OC204,Cymbidium Orchid,82,$89.00 ,$17.80 ,"$7,280.20 ",United States
1000115,9-Jan-20,Wholesale,Business,Jose Li Inc.,Maryland,Rose,RS102,Carolina Rose,6,$8.99 ,$1.80 ,$52.14 ,United States
1000116,9-Jan-20,Wholesale,Business,Deanna Perez Group,Virginia,Orchid,OC206,Dendrobium Orchid,4,$119.00 ,$23.80 ,$452.20 ,United States
1000117,9-Jan-20,Retail,Individual,Terrence Luo,Florida,Sunflower,SF705,Suntastic Yellow,2,$684.00 ,$0.00 ,"$1,368.00 ",United States
1000118,9-Jan-20,Wholesale,Business,Mandar Samant Inc.,California,Rose,RS507,White Rose of York,13,$13.99 ,$2.80 ,$179.07 ,United States
1000119,9-Jan-20,Wholesale,Business,Ann Gonzalez ForeverInc..,Massachusetts,Rose,RS521,Hybrid Musk,8,$19.50 ,$3.90 ,$152.10 ,United States
1000120,9-Jan-20,Wholesale,Business,Chase Cox Group,Illinois,Daisy,DS803,Curly Leaf Daisy,8,$29.99 ,$6.00 ,$233.92 ,United States
1000121,9-Jan-20,Wholesale,Business,Preston Raman Inc.,Georgia,Sunflower,SF707,Italian White,8,$599.00 ,$119.80 ,"$4,672.20 ",United States
1000122,9-Jan-20,Retail,Individual,Sydney Ross,Florida,Rose,RS502,Rosa Glauca,1,$24.95 ,$0.00 ,$24.95 ,United States
1000123,9-Jan-20,Retail,Individual,Philip Diaz,Michigan,Orchid,OC204,Cymbidium Orchid,2,$89.00 ,$0.00 ,$178.00 ,United States
1000124,9-Jan-20,Wholesale,Business,Marcus Anderson Inc.,Alabama,Sunflower,SF706,Firecracker,13,$883.00 ,$176.60 ,"$11,302.40 ",United States
1000125,9-Jan-20,Wholesale,Business,Kendra Gutierrez Inc..,Oklahoma,Daisy,DS813,English Daisy,5,$29.99 ,$6.00 ,$143.95 ,United States
1000126,9-Jan-20,Retail,Individual,Sean Sanchez,Indiana,Daisy,DS809,Eastern Purple Coneflower,1,$42.99 ,$0.00 ,$42.99 ,United States
1000127,9-Jan-20,Retail,Individual,Tiffany Li,Virginia,Daisy,DS802,Mojave Desert Star,1,$49.95 ,$0.00 ,$49.95 ,United States
1000128,9-Jan-20,Retail,Business,Savannah Reed Securities,New York,Rose,RS509,Bourbon Rose,3,$19.99 ,$0.00 ,$59.97 ,United States
1000129,9-Jan-20,Wholesale,Business,Brenda Stone,California,Rose,RS508,Ayrshire Rose,97,$15.50 ,$3.10 ,"$1,500.40 ",United States
1000130,10-Jan-20,Wholesale,Business,Christy Chow Inc.,Florida,Rose,RS504,Shining Rose,7,$12.99 ,$2.60 ,$88.33 ,United States
1000131,10-Jan-20,Wholesale,Business,Brenda Stone,California,Rose,RS108,Panda Robot Blueprint,11,$7.99 ,$1.60 ,$86.29 ,United States
1000132,10-Jan-20,Wholesale,Business,Beth Gomez LLC,New York,Sunflower,SF306,Chianti,3,$250.00 ,$50.00 ,$700.00 ,United States
1000133,10-Jan-20,Wholesale,Business,Megan Rodriguez Inc.,Indiana,Rose,RS506,Heirloom Rose,8,$16.99 ,$3.40 ,$132.52 ,United States
1000134,10-Jan-20,Wholesale,Business,Blake Roberts Inc.,Virginia,Rose,RS110,Noisette Rose,10,$11.99 ,$2.40 ,$117.50 ,United States
1000135,10-Jan-20,Retail,Business,Anne Ortega LLC,Texas,Orchid,OC201,Phalaenopsis Orchid,4,$54.00 ,$0.00 ,$216.00 ,United States
1000136,10-Jan-20,Wholesale,Business,Devin Martinez Inc.,North Carolina,Rose,RS509,Bourbon Rose,13,$19.99 ,$4.00 ,$255.87 ,United States
1000137,10-Jan-20,Wholesale,Business,Brian Morgan LLC,Texas,Orchid,OC603,Paphiopedlium Orchid,44,$189.00 ,$37.80 ,"$8,278.20 ",United States
1000138,10-Jan-20,Retail,Individual,Rodney Rubio,Pennsylvania,Daisy,DS803,Curly Leaf Daisy,1,$29.99 ,$0.00 ,$29.99 ,United States
1000139,10-Jan-20,Wholesale,Business,Gabriella Morris LLC,California,Rose,RS508,Ayrshire Rose,15,$15.50 ,$3.10 ,$229.40 ,United States
1000140,10-Jan-20,Wholesale,Business,Alexandra Richardson Industries,Tennessee,Rose,RS104,Beach Rose,12,$4.99 ,$1.00 ,$58.88 ,United States
1000141,10-Jan-20,Wholesale,Business,Grace Bell andSons,Florida,Rose,RS502,Rosa Glauca,6,$24.95 ,$4.99 ,$144.71 ,United States
1000142,10-Jan-20,Retail,Individual,Jeremy Anderson,California,Sunflower,SF305,Ms. Mars,1,$455.00 ,$0.00 ,$455.00 ,United States
1000143,10-Jan-20,Retail,Individual,Kyle Carter,Washington,Sunflower,SF306,Chianti,1,$250.00 ,$0.00 ,$250.00 ,United States
1000144,10-Jan-20,Wholesale,Business,Cole Torres LLC,Oregon,Daisy,DS801,Rough Daisy,68,$36.99 ,$7.40 ,"$2,507.92 ",United States
1000145,10-Jan-20,Retail,Individual,Kaylee King,Tennessee,Orchid,OC201,Phalaenopsis Orchid,1,$54.00 ,$0.00 ,$54.00 ,United States
1000146,11-Jan-20,Retail,Individual,Dalton Bennett,Delaware,Rose,RS516,Polyantha,1,$16.99 ,$0.00 ,$16.99 ,United States
1000147,11-Jan-20,Retail,Individual,Kristina Schmidt,Virginia,Daisy,DS808,Pale Purple Coneflower,1,$34.99 ,$0.00 ,$34.99 ,United States
1000148,11-Jan-20,Retail,Individual,Jackson Wright,Ohio,Rose,RS511,Cabbage Rose,1,$20.95 ,$0.00 ,$20.95 ,United States
1000149,11-Jan-20,Wholesale,Business,Elizabeth Coleman Inc.,Texas,Rose,RS516,Polyantha,9,$16.99 ,$3.40 ,$149.51 ,United States
1000150,11-Jan-20,Retail,Individual,Arthur Carlson,Georgia,Orchid,OC606,Vanda Orchid,1,$225.00 ,$0.00 ,$225.00 ,United States
1000151,11-Jan-20,Retail,Individual,Cassie Chande,New York,Sunflower,SF302,Sunny Smile,1,$395.00 ,$0.00 ,$395.00 ,United States
1000152,11-Jan-20,Wholesale,Business,Jason Carter Inc.,Indiana,Rose,RS520,Rogusa Rose,10,$17.50 ,$3.50 ,$171.50 ,United States
1000153,11-Jan-20,Retail,Individual,Linda Navarro,Iowa,Rose,RS503,Multiflora Rose,1,$24.99 ,$0.00 ,$24.99 ,United States
1000154,11-Jan-20,Wholesale,Business,Jessica Miller MayerCompany,Kansas,Rose,RS104,Beach Rose,8,$4.99 ,$1.00 ,$38.92 ,United States
1000155,11-Jan-20,Wholesale,Business,Megan Rodriguez Inc.,Indiana,Daisy,DS808,Pale Purple Coneflower,12,$34.99 ,$7.00 ,$412.88 ,United States
1000156,11-Jan-20,Wholesale,Business,Jonathan Rodriguez Inc.,North Carolina,Daisy,DS806,Shasta Daisy,10,$49.00 ,$9.80 ,$480.20 ,United States
1000157,11-Jan-20,Retail,Individual,Theresa Ramos,Oregon,Daisy,DS808,Pale Purple Coneflower,1,$34.99 ,$0.00 ,$34.99 ,United States
1000158,11-Jan-20,Retail,Individual,Catherine Cooper,California,Rose,RS502,Rosa Glauca,1,$24.95 ,$0.00 ,$24.95 ,United States
1000159,12-Jan-20,Wholesale,Business,Alyssa Davis Inc.,Maryland,Rose,RS101,Prickly Wild Rose,8,$9.99 ,$2.00 ,$77.92 ,United States
1000160,12-Jan-20,Wholesale,Business,Megan Rodriguez Inc.,Indiana,Orchid,OC606,Vanda Orchid,40,$225.00 ,$45.00 ,"$8,955.00 ",United States
1000161,12-Jan-20,Wholesale,Business,Bianca Liu Group,New York,Sunflower,SF301,Little Becka,10,$399.00 ,$79.80 ,"$3,910.20 ",United States
1000162,12-Jan-20,Wholesale,Business,Alberto Ramos Inc.,Georgia,Rose,RS504,Shining Rose,7,$12.99 ,$2.60 ,$88.33 ,United States
1000163,12-Jan-20,Wholesale,Business,William Lee International,New York,Orchid,OC603,Paphiopedlium Orchid,26,$189.00 ,$37.80 ,"$4,876.20 ",United States
1000164,12-Jan-20,Retail,Individual,Kelsey Xie,Missouri,Daisy,DS804,Chrysanthemum Daisy,1,$37.99 ,$0.00 ,$37.99 ,United States
1000165,12-Jan-20,Wholesale,Business,Susan Yang,California,Rose,RS108,Panda Robot Blueprint,6,$7.99 ,$1.60 ,$46.34 ,United States
1000166,12-Jan-20,Wholesale,Business,Eugene Zhao LLC,Texas,Rose,RS102,Carolina Rose,6,$8.99 ,$1.80 ,$52.14 ,United States
1000167,12-Jan-20,Wholesale,Business,Thomas Chen Inc.,Texas,Rose,RS503,Multiflora Rose,10,$24.99 ,$5.00 ,$244.90 ,United States
1000168,12-Jan-20,Wholesale,Business,Catherine Cox LLC,Minnesota,Rose,RS511,Cabbage Rose,8,$20.95 ,$4.19 ,$163.41 ,United States
1000169,12-Jan-20,Wholesale,Business,Eugene Zhao LLC,Texas,Orchid,OC603,Paphiopedlium Orchid,70,$189.00 ,$37.80 ,"$13,192.20 ",United States
1000170,12-Jan-20,Retail,Individual,Jaclyn Nara,Arizona,Sunflower,SF301,Little Becka,1,$399.00 ,$0.00 ,$399.00 ,United States
1000171,12-Jan-20,Retail,Individual,Chloe Robinson,New York,Rose,RS104,Beach Rose,1,$4.99 ,$0.00 ,$4.99 ,United States
1000172,13-Jan-20,Retail,Individual,Alexandra James,Iowa,Rose,RS501,Prairie Rose,1,$23.99 ,$0.00 ,$23.99 ,United States
